
6月 21, 2018 19:06:39.36 [3680:6592:0621/190639.355:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 19:06:39.36 [3680:6592:0621/190639.355:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 19:06:39.36 [3680:6592:0621/190639.355:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 19:06:39.36 [3680:6592:0621/190639.355:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 21, 2018 19:06:39.36 [3680:6592:0621/190639.355:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.

6月 30, 2018 24:53:52.74 NEW SESSION
6月 30, 2018 24:53:52.74 [7252:3048:0630/005352.695:ERROR:in_progress_cache_impl.cc(93)] Could not read download entries from file because there was a read failure.
6月 30, 2018 24:53:52.80 [7252:6200:0630/005352.798:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 30, 2018 24:53:52.80 [7252:6200:0630/005352.798:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 30, 2018 24:53:52.80 [7252:6200:0630/005352.798:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 30, 2018 24:53:52.80 [7252:6200:0630/005352.798:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 30, 2018 24:53:52.80 [7252:6200:0630/005352.798:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 30, 2018 24:53:52.80 [7252:6200:0630/005352.798:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 30, 2018 24:53:52.80 [7252:6200:0630/005352.798:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 30, 2018 24:53:52.80 [7252:6200:0630/005352.798:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 30, 2018 24:53:52.81 [7252:6200:0630/005352.798:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 30, 2018 24:53:52.81 [7252:6200:0630/005352.798:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 30, 2018 24:53:52.81 [7252:6200:0630/005352.798:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 30, 2018 24:53:52.81 [7252:6200:0630/005352.798:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 30, 2018 24:53:52.81 [7252:6200:0630/005352.798:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 30, 2018 24:53:52.81 [7252:6200:0630/005352.798:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 30, 2018 24:53:52.81 [7252:6200:0630/005352.798:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 30, 2018 24:53:52.81 [7252:6200:0630/005352.798:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 30, 2018 24:53:52.81 [7252:6200:0630/005352.798:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 30, 2018 24:53:52.81 [7252:6200:0630/005352.798:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 30, 2018 24:53:52.81 [7252:6200:0630/005352.798:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 30, 2018 24:53:52.81 [7252:6200:0630/005352.798:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 30, 2018 24:53:52.81 [7252:6200:0630/005352.798:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 30, 2018 24:53:52.81 [7252:6200:0630/005352.798:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 30, 2018 24:53:52.81 [7252:6200:0630/005352.798:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
6月 30, 2018 24:53:52.81 [7252:6200:0630/005352.798:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.

7月 08, 2018 21:06:17.62 NEW SESSION
7月 08, 2018 21:06:17.62 [3488:6492:0708/210617.575:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
7月 08, 2018 21:06:17.64 [3488:6492:0708/210617.575:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
7月 08, 2018 21:06:17.64 [3488:6492:0708/210617.575:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
7月 08, 2018 21:06:17.64 [3488:6492:0708/210617.575:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
7月 08, 2018 21:06:17.64 [3488:6492:0708/210617.575:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
7月 08, 2018 21:06:17.64 [3488:6492:0708/210617.575:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
7月 08, 2018 21:06:17.65 [3488:6492:0708/210617.575:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
7月 08, 2018 21:06:17.65 [3488:6492:0708/210617.575:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
7月 08, 2018 21:06:17.65 [3488:6492:0708/210617.575:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
7月 08, 2018 21:06:17.65 [3488:6492:0708/210617.575:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
7月 08, 2018 21:06:17.65 [3488:6492:0708/210617.575:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
7月 08, 2018 21:06:17.65 [3488:6492:0708/210617.575:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
7月 08, 2018 21:06:17.65 [3488:6492:0708/210617.575:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
7月 08, 2018 21:06:17.65 [3488:6492:0708/210617.575:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
7月 08, 2018 21:06:17.65 [3488:6492:0708/210617.575:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
7月 08, 2018 21:06:17.65 [3488:6492:0708/210617.575:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
7月 08, 2018 21:06:17.65 [3488:6492:0708/210617.575:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
7月 08, 2018 21:06:17.65 [3488:6492:0708/210617.575:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
7月 08, 2018 21:06:17.67 [3488:6492:0708/210617.575:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
7月 08, 2018 21:06:17.67 [3488:6492:0708/210617.575:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
7月 08, 2018 21:06:17.67 [3488:6492:0708/210617.575:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
7月 08, 2018 21:06:17.67 [3488:6492:0708/210617.575:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
7月 08, 2018 21:06:17.67 [3488:6492:0708/210617.575:ERROR:in_progress_cache_impl.cc(189)] Cache is not initialized, cannot RetrieveEntry.
